Model;Tool;SAT-solver;Seconds
ESP8266;Flama;glucose4;0.001
ESP8266;Flama;glucose4;0.0006
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0006
ESP8266;Flama;glucose4;0.0003
ESP8266;Flama;glucose4;0.0006
ESP8266;Flama;glucose4;0.0003
ESP8266;Flama;glucose4;0.0003
ESP8266;Flama;glucose4;0.0003
ESP8266;Flama;glucose4;0.0003
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0006
ESP8266;Flama;glucose4;0.0006
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0006
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0006
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.001
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0007
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0006
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0006
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0007
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0006
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0006
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0006
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0007
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0007
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0006
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0006
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0007
ESP8266;Flama;glucose4;0.0006
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0006
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0006
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0006
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0007
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0007
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0006
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0005
ESP8266;Flama;glucose4;0.0007
ESP8266;Flama;lingeling;0.0012
ESP8266;Flama;lingeling;0.0012
ESP8266;Flama;lingeling;0.0016
